"agency_id","route_id","route_short_name","route_long_name","route_type","route_desc","route_color","route_text_color"
"9020","97","","Červená Skala-Banská Bystrica","2","","FF671F","FFFFFF"
"9020","98","","Margecany-Košice","2","","FF671F","FFFFFF"
"9020","99","","Margecany-Prešov","2","","FF671F","FFFFFF"
"9020","100","","Prešov-Stakčín","2","","FF671F","FFFFFF"
"9020","101","","Stakčín-Prešov","2","","FF671F","FFFFFF"
"9020","102","","Poprad-Tatry-Košice","2","","FF671F","FFFFFF"
"9020","103","","Košice-Poprad-Tatry","2","","FF671F","FFFFFF"
"9020","104","","Margecany-Banská Bystrica","2","","FF671F","FFFFFF"
"9020","105","","Banská Bystrica-Margecany","2","","FF671F","FFFFFF"
"9020","106","","Nitra-Bratislava-N.Mesto","2","","FF671F","FFFFFF"
"9020","107","","Bratislava-N.Mesto-Nitra","2","","FF671F","FFFFFF"
"9020","108","","Nitra-Trnava","2","","FF671F","FFFFFF"
"9020","109","","Trnava-Leopoldov","2","","FF671F","FFFFFF"
"9020","110","","Humenné-Košice","2","","FF671F","FFFFFF"
"9020","111","","Košice-Humenné","2","","FF671F","FFFFFF"
"9020","112","","Košice-Lipany","2","","FF671F","FFFFFF"
"9020","113","","Lipany-Košice","2","","FF671F","FFFFFF"
"9020","114","","Košice-Plaveč","2","","FF671F","FFFFFF"
"9020","115","","Plaveč-Košice","2","","FF671F","FFFFFF"
"9020","116","","Čierna n.Tisou-Košice","2","","FF671F","FFFFFF"
"9020","117","","Košice-Čierna n.Tisou","2","","FF671F","FFFFFF"
"9020","118","","Bratislava hl.st.-Kúty","2","","FF671F","FFFFFF"
"9020","119","","Kúty-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","120","","Skalica na Slovensku-Kúty","2","","FF671F","FFFFFF"
"9020","121","","Kúty-Skalica na Slovensku","2","","FF671F","FFFFFF"
"9020","122","","Trnava-Kúty","2","","FF671F","FFFFFF"
"9020","123","","Kúty-Trnava","2","","FF671F","FFFFFF"
"9020","124","","Senica-Kúty","2","","FF671F","FFFFFF"
"9020","125","","Trnava-Senica","2","","FF671F","FFFFFF"
"9020","126","","Senica-Trnava","2","","FF671F","FFFFFF"
