"service_id","date","exception_type"
"1","20230915","1"
"1","20230916","1"
"1","20230917","1"
"1","20230918","1"
"1","20230919","1"
"1","20230920","1"
"1","20230921","1"
"1","20230922","1"
"1","20230923","1"
"1","20230924","1"
"1","20230925","1"
"1","20230926","1"
"1","20230927","1"
"1","20230928","1"
"1","20230929","1"
"1","20230930","1"
"1","20231001","1"
"1","20231002","1"
"1","20231003","1"
"1","20231004","1"
"1","20231005","1"
"1","20231006","1"
"1","20231007","1"
"1","20231008","1"
"1","20231009","1"
"1","20231010","1"
"1","20231011","1"
"1","20231012","1"
"1","20231013","1"
"1","20231014","1"
"1","20231015","1"
"1","20231016","1"
"1","20231017","1"
"1","20231018","1"
"1","20231019","1"
"1","20231020","1"
"1","20231021","1"
"1","20231022","1"
"1","20231023","1"
"1","20231024","1"
"1","20231025","1"
"1","20231026","1"
"1","20231027","1"
"1","20231028","1"
"1","20231029","1"
"1","20231030","1"
"1","20231031","1"
"1","20231101","1"
"1","20231102","1"
"1","20231103","1"
"1","20231104","1"
"1","20231105","1"
"1","20231106","1"
"1","20231107","1"
"1","20231108","1"
"1","20231109","1"
"1","20231110","1"
"1","20231111","1"
"1","20231112","1"
"1","20231113","1"
"1","20231114","1"
"1","20231115","1"
"1","20231116","1"
"1","20231117","1"
"1","20231118","1"
"1","20231119","1"
"1","20231120","1"
"1","20231121","1"
"1","20231122","1"
"1","20231123","1"
"1","20231124","1"
"1","20231125","1"
"1","20231126","1"
"1","20231127","1"
"1","20231128","1"
"1","20231129","1"
"1","20231130","1"
"1","20231201","1"
"1","20231202","1"
"1","20231203","1"
"1","20231204","1"
"1","20231205","1"
"1","20231206","1"
"1","20231207","1"
"1","20231208","1"
"1","20231209","1"
"1","20231210","2"
"114","20221211","2"
"114","20221212","2"
"114","20221213","2"
"114","20221214","2"
"114","20221215","2"
"114","20221216","2"
"114","20221217","2"
"114","20221218","2"
"114","20221219","2"
"114","20221220","2"
"114","20221221","2"
"114","20221222","2"
"114","20221223","2"
"114","20221224","2"
"114","20221225","2"
"114","20221226","2"
"114","20221227","2"
"114","20221228","2"
"114","20221229","2"
"114","20221230","2"
"114","20221231","2"
"114","20230101","2"
"114","20230102","2"
"114","20230103","2"
"114","20230104","2"
"114","20230105","2"
"114","20230106","2"
"114","20230107","2"
"114","20230108","2"
"114","20230109","2"
"114","20230110","2"
"114","20230111","2"
"114","20230112","2"
"114","20230113","2"
"114","20230114","2"
"114","20230115","2"
"114","20230116","2"
"114","20230117","2"
"114","20230118","2"
"114","20230119","2"
"114","20230120","2"
"114","20230121","2"
"114","20230122","2"
"114","20230123","2"
"114","20230124","2"
"114","20230125","2"
"114","20230126","2"
"114","20230127","2"
"114","20230128","2"
"114","20230129","2"
"114","20230130","2"
"114","20230131","2"
"114","20230201","2"
"114","20230202","2"
"114","20230203","2"
"114","20230204","2"
"114","20230205","2"
"114","20230206","2"
"114","20230207","2"
"114","20230208","2"
"114","20230209","2"
"114","20230210","2"
"114","20230211","2"
"114","20230212","2"
"114","20230213","2"
"114","20230214","2"
"114","20230215","2"
"114","20230216","2"
"114","20230217","2"
"114","20230218","2"
"114","20230219","2"
"114","20230220","2"
"114","20230221","2"
"114","20230222","2"
"114","20230223","2"
"114","20230224","2"
"114","20230225","2"
"114","20230226","2"
"114","20230227","2"
"114","20230228","2"
"114","20230301","2"
"114","20230302","2"
"114","20230303","2"
"114","20230304","2"
"114","20230305","2"
"114","20230306","2"
"114","20230307","2"
"114","20230308","2"
"114","20230309","2"
"114","20230310","2"
"114","20230311","2"
