"stop_id","stop_name","stop_lat","stop_lon","stop_code","location_type","parent_station","wheelchair_boarding"
"159467","Alekšince","48.36358","17.94264","","","",""
"159566","Andač","48.381067","17.967423","","","",""
"144238","Bacúch","48.84405","19.81828","","","",""
"60061","Bad Schandau","50.918829","14.140066","","","",""
"8100025","Baden b.Wien","48.00425644182734","16.242642055774837","","","",""
"136564","Báhoň","48.30518","17.4496","","","",""
"158162","Bajč","47.92637","18.21119","","","",""
"152165","Bánov","48.04548","18.16751","","","",""
"151464","Bánovce n.Bebravou","48.7203","18.25174","","","",""
"166900","Bánovce n.Ondavou","48.67939","21.83421","","","",""
"146035","Banská Belá","48.47315","18.94768","","","",""
"133637","Banská Bystrica","48.73551","19.16403","","","",""
"133835","Banská Bystrica mesto","48.73156","19.14658","","","",""
"146233","Banská Štiavnica","48.44389","18.91494","","","",""
"146332","Banský Studenec","48.45428","18.93618","","","",""
"152900","Barca","48.67913","21.27565","","","",""
"165902","Bardejov","49.29672","21.28225","","","",""
"131532","Bartošova Lehôtka","48.63724","18.91179","","","",""
"165704","Bartošovce","49.19730","21.27785","","","",""
"900060","Baumgarten","47.727758","16.517887","","","",""
"163105","Belá n.Cirochou","48.97814","22.10326","","","",""
"170555","Beluša","49.06292","18.31965","","","",""
"144139","Beňuš","48.82875","19.76112","","","",""
"31377","Berlin Hbf","52.52613401692138","13.369152556143698","","","",""
"900022","Berlin Hbf (tief)","52.525319","13.369413","","","",""
"78717","Berlin Ostbahnhof","52.51065569333398","13.43470972730764","","","",""
"900021","Berlin Südkreuz","52.475843","13.365428","","","",""
"30254","Berlin-Spandau","52.534559","13.197884","","","",""
"132464","Bernolákovo","48.19759","17.30605","","","",""
"900071","Besko","49.591925","21.952564","","","",""
"156463","Beša","48.13852","18.40178","","","",""
"900055","Bezenye","47.973637","17.207242","","","",""
"138800","Biel","48.41353","22.05625","","","",""
"164061","Bielovce","47.99619","18.7745","","","",""
"163469","Bíňa","47.91995","18.63509","","","",""
"142562","Bíňovce","48.50133","17.47269","","","",""
"900047","Blatnice p.Sv.Antonínkem","48.940863","17.439501","","","",""
"137836","Blhovce","48.27718","19.95491","","","",""
"12302","Bludenz","47.155002","9.814844","","","",""
"900095","Bocanovice (Boconowice)","49.564093","18.741026","","","",""
"900070","Boguchwala","49.983943","21.934670","","","",""
"137000","Bohdanovce","48.65159","21.40125","","","",""
"341248","Bohumín","49.901173","18.359049","","","",""
"5100227","Bochnia","49.97705697849873","20.431310903936524","","","",""
"142463","Boleráz","48.47008","17.49813","","","",""
"141267","Borský Mikuláš","48.64230","17.19164","","","",""
"138008","Borša","48.3939","21.70728","","","",""
"155267","Bošany","48.59279","18.24218","","","",""
"152868","Branč","48.207277","18.137391","","","",""
"132068","Bratislava hlavná stanica","48.15827","17.10615","","","",""
"145169","Bratislava predm.","48.18463","17.13373","","","",""
"132266","Bratislava ústredná nákladná stanic","48.141818","17.146777","","","",""
"131664","Bratislava-Lamač","48.18487","17.05048","","","",""
"146167","Bratislava-N.Mesto","48.17135","17.14642","","","",""
"145763","Bratislava-Petržalka","48.12174","17.09842","","","",""
"136069","Bratislava-Rača","48.20895","17.16044","","","",""
"132167","Bratislava-Vajnory","48.19505","17.20668","","","",""
"135962","Bratislava-Vinohrady","48.18656","17.13384","","","",""
"135988","Bratislava-Vinohrady2","48.18755769173017","17.133510343696578","","","",""
"131763","Bratislava-Železná studienka","48.17447","17.0728","","","",""
"334250","Břeclav","48.754042","16.892406","","","",""
"8100692","Breitenstein am Semmering","47.660149972439626","15.820521062177196","","","",""
"160507","Brekov","48.90322","21.84147","","","",""
